"id","species","file_path","retired_id","agreement_confidence","site","easting","northing","dist2centerofcity","avg_housing_density_1k_buffer","avg_imperv_surface_1k_buffer","season","locations","date_time"
"10","SQRRLGR","Z:/TransectTrailCamPics/FA14/DPT/D02-HUP1/D02-HUP1-FA14 (1006).JPG","3744959",0.714285714285714,"D02-HUP1",441984,4639557,6507.962502,476.791682,28.489348,"FA14","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/14adb794-2b25-45bb-8f6a-ef79311ea443.jpeg""}","2014-10-27 13:26:27 -0500"
"100","BRD","Z:/TransectTrailCamPics/FA14/DPT/D02-HUP1/D02-HUP1-FA14 (141).JPG","3745049",0.571428571428571,"D02-HUP1",441984,4639557,6507.962502,476.791682,28.489348,"FA14","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/17e44409-5a11-4680-a043-d31960b8047e.jpeg""}","2014-10-07 12:20:08 -0500"
"1000","RBBT","Z:/TransectTrailCamPics/FA14/DPT/D02-HUP1/D02-HUP1-FA14 (952).JPG","3745949",1,"D02-HUP1",441984,4639557,6507.962502,476.791682,28.489348,"FA14","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/60aec252-89ab-482d-84ea-bea7ef09c754.jpeg""}","2014-10-26 03:56:55 -0500"
"10006","SKNK","Z:/TransectTrailCamPics/FA14/DPT/D05-BRP1/D05-BRP1-FA14 (38).JPG","3754955",0.857142857142857,"D05-BRP1",433167,4651141,20520.797368,463.806283,24.601831,"FA14","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/076991a0-73e7-4533-9ea9-62981f238874.jpeg""}","2014-09-30 04:13:04 -0500"
"1001","RBBT","Z:/TransectTrailCamPics/FA14/DPT/D02-HUP1/D02-HUP1-FA14 (953).JPG","3745950",0.25,"D02-HUP1",441984,4639557,6507.962502,476.791682,28.489348,"FA14","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/f4c7d90f-011e-4536-bc15-a0466527a0a6.jpeg""}","2014-10-26 04:08:08 -0500"
"1004","SQRRLGR","Z:/TransectTrailCamPics/FA14/DPT/D02-HUP1/D02-HUP1-FA14 (956).JPG","3745953",0.714285714285714,"D02-HUP1",441984,4639557,6507.962502,476.791682,28.489348,"FA14","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/b908e385-9722-43d0-b4bc-e2062e1e37ac.jpeg""}","2014-10-26 07:15:36 -0500"
"1005","SQRRLGR","Z:/TransectTrailCamPics/FA14/DPT/D02-HUP1/D02-HUP1-FA14 (957).JPG","3745954",0.875,"D02-HUP1",441984,4639557,6507.962502,476.791682,28.489348,"FA14","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/ca33f139-b51b-48a2-ab3d-f033ba529d97.jpeg""}","2014-10-26 07:18:34 -0500"
"1006","SQRRLGR","Z:/TransectTrailCamPics/FA14/DPT/D02-HUP1/D02-HUP1-FA14 (958).JPG","3745955",0.571428571428571,"D02-HUP1",441984,4639557,6507.962502,476.791682,28.489348,"FA14","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/4e73d121-8aa6-4e91-83e7-6ad1e8cdf081.jpeg""}","2014-10-26 07:56:50 -0500"
"10088","DGDMSTC","Z:/TransectTrailCamPics/FA14/DPT/D05-BRP1/D05-BRP1-FA14 (453).JPG","3755037",1,"D05-BRP1",433167,4651141,20520.797368,463.806283,24.601831,"FA14","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/25ba4ce6-1f12-4c9e-afda-582df29f92e1.jpeg""}","2014-10-16 12:49:05 -0500"
"101","SQRRLFX","Z:/TransectTrailCamPics/FA14/DPT/D02-HUP1/D02-HUP1-FA14 (142).JPG","3745050",0.8,"D02-HUP1",441984,4639557,6507.962502,476.791682,28.489348,"FA14","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/aa1fbcdd-2bf9-4c53-b46f-c65c61a00355.jpeg""}","2014-10-07 12:36:59 -0500"
